Name,Rapid_Rating,Blitz_Rating,Bullet_Rating
Playerwr,1066,1453,1073
DevTech03,403,261,100
ishaanvats,729,1002,677
pankaj1238,255,219,100
priyxnshukumar,331,281,281
VisheshSinghal1510,160,110,110
SIDDHARTHalsoNEGI,1496,753,663
crushergaming,770,1349,758
I_M_A_Sniper,1166,492,460
ipranjalpant,690,549,570
AkshatGarg1234,896,643,839
aaradhya0701,1053,730,570
arjeetkitru,1025,526,790
SanketD244,1297,1183,1056
anmol_shuklaa,869,696,340
Vkeves,1068,557,388
ramkharbanda,1246,1442,1346
YourOwnComrade,1368,1079,1098
ujjwalchess3,1536,1062,1257
Supriyo02,471,424,421
Manas_Bawari,1339,1289,1289
Ishaan706,1265,864,796
Albin77777,1028,484,561
dhruvv_bajaj,1040,671,756
visionrajput,1111,387,523
10Garv,1290,1468,831
namannn04,441,391,391
CHEEMSchessOP,1326,1403,1527
DakshhJain,1175,855,984
Ashutoshchezz,1551,1334,1406
KRISH981155,320,360,270
Hashirama_shenju,1257,1166,1047
Dev9076,606,423,556
dhruvrankoti,603,719,341
SIDDHARTH1357,1284,1141,854
Abhijitam,1263,922,513
SARTHAK10710,834,452,120
mikhailtal345,1081,880,1031
alphaton,1332,1000,822
Arman202p,672,296,288
DAKUVANSH,1239,1249,969
avg,974,794,701
