Name,Rapid_Rating,Blitz_Rating,Bullet_Rating,Puzzle_Rating
Playerwr,1066,1453,1073,1654
DevTech03,414,261,100,1204
ishaanvats,724,1002,677,811
pankaj1238,255,219,100,947
priyxnshukumar,331,281,281,627
VisheshSinghal1510,160,110,110,421
SIDDHARTHalsoNEGI,1496,753,663,398
crushergaming,770,1349,758,1014
I_M_A_Sniper,1162,492,460,1597
ipranjalpant,750,549,570,515
AkshatGarg1234,896,634,839,958
aaradhya0701,1054,730,570,651
arjeetkitru,1025,526,790,869
SanketD244,1297,1176,1056,2304
anmol_shuklaa,869,696,340,683
Vkeves,1066,557,388,1215
ramkharbanda,1246,1408,1346,2560
YourOwnComrade,1368,1079,1098,1950
ujjwalchess3,1536,1062,1257,2207
Supriyo02,471,424,421,1152
Manas_Bawari,1339,1289,1289,1212
Ishaan706,1265,864,796,1033
Albin77777,1013,502,561,1915
dhruvv_bajaj,1040,671,756,1627
visionrajput,1111,387,523,1000
10Garv,1290,1460,816,2046
namannn04,441,391,391,436
CHEEMSchessOP,1326,1406,1506,758
DakshhJain,1234,863,998,1199
Ashutoshchezz,1551,1334,1406,2169
KRISH981155,320,360,270,400
Hashirama_shenju,1257,1166,1047,830
Dev9076,606,423,556,428
dhruvrankoti,638,704,414,1205
SIDDHARTH1357,1284,1141,854,1923
Abhijitam,1271,922,513,1957
SARTHAK10710,834,452,120,980
mikhailtal345,1081,876,1031,400
alphaton,1323,1000,822,2206
Arman202p,672,296,288,1198
DAKUVANSH,1239,1242,969,800
avg,977,792,703,1206
